Metric,2024 FQ1,2023 FY,2022 FY,2021 FY,2020 FY,2019 FY
 ,,,,,,
Period Ended,,,,,,
Financial Filing Date,,,,,,
Spot Exchange Rate,0.738487,0.757214,0.738869,0.790208,0.784806,0.770989
Average Exchange Rate,0.741678,0.74108,0.768812,0.797827,0.746347,0.753595
Reported Currency Code,,,,,,
Cash and Equivalents,238692.0,429196.0,845025.0,985742.0,720752.0,819123.0
Short Term Investments,,,840961.0,67093.0,19608.0,
Cash & Short Term Investments,238692.0,429196.0,1685987.0,1052836.0,740360.0,819123.0
Accounts Receivable,152695.0,313329.0,123899.0,214158.0,130320.0,247979.0
Other Receivables,17769.0,7980.0,35585.0,8432.0,38738.0,9632.0
Total Receivables,170465.0,321310.0,159484.0,222590.0,169058.0,257611.0
Inventory,675819.0,637281.0,607800.0,398946.0,604141.0,313231.0
Other Current Assets,1040.0,6919.0,983.0,17900.0,12923.0,3195.0
Total Current Assets,1086015.0,1394706.0,2454254.0,1692271.0,1526482.0,1393161.0
Gross Property Plant & Equipment,,7207294.0,6964433.0,7280762.0,7278208.0,6957077.0
Accumulated Depreciation,,-4656412.0,-4397979.0,-4454505.0,-4318266.0,-4088479.0
Net Property Plant & Equipment,2452091.0,2550883.0,2566454.0,2826256.0,2959941.0,2868598.0
Long-term Investments,2358816.0,2402781.0,155881.0,184308.0,172412.0,194814.0
Other Intangibles,31502.0,32997.0,34813.0,40496.0,43809.0,46575.0
Deferred Tax Assets LT,646127.0,676086.0,727099.0,740882.0,735111.0,737356.0
Other Long-Term Assets,443316.0,464758.0,440002.0,456366.0,511727.0,485824.0
Total Assets,7017867.0,7522211.0,6378503.0,5940580.0,5949483.0,5726328.0
Accounts Payable,278198.0,294482.0,184689.0,168612.0,107668.0,77413.0
Accrued Exp.,,60420.0,44014.0,48229.0,30100.0,11239.0
Curr. Port. of LT Debt,369177.0,380422.0,,,,
Current Portion of Leases,,1742.0,,,,
Curr. Income Taxes Payable,18610.0,18231.0,4801.0,3263.0,1162.0,4850.0
Other Current Liabilities,96826.0,145110.0,180883.0,106839.0,99481.0,120379.0
Total Current Liabilities,762811.0,900407.0,414388.0,326943.0,238411.0,213880.0
Long-Term Debt,885250.0,1100723.0,794354.0,799701.0,786051.0,768459.0
Long-Term Leases,7763.0,6448.0,6862.0,3850.0,6240.0,9922.0
Other Non-Current Liabilities,848485.0,899934.0,850812.0,980765.0,1027272.0,883005.0
Total Liabilities,2504309.0,2907512.0,2066415.0,2111258.0,2057974.0,1875266.0
Common Stock,2152520.0,2206648.0,2128191.0,1504047.0,1467360.0,1436159.0
Additional Paid In Capital,154882.0,163315.0,166014.0,181779.0,186280.0,180937.0
Retained Earnings,2195268.0,2256304.0,1992271.0,2085872.0,2147096.0,2178504.0
Comprehensive Inc. and Other,10866.0,-11572.0,25603.0,57523.0,90611.0,55279.0
Total Common Equity,4513536.0,4614695.0,4312079.0,3829221.0,3891348.0,3850879.0
Total Minority Interest,22.0,3.0,8.0,100.0,162.0,183.0
Total Equity,4513558.0,4614698.0,4312087.0,3829321.0,3891509.0,3851063.0
Total Liabilities And Equity,7017867.0,7522211.0,6378503.0,5940580.0,5949483.0,5726328.0
ECS Total Shares Outstanding on Filing Date (actual),434630443.0,434175752.0,432717981.0,398289261.0,396862441.0,395797733.0
ECS Total Common Shares Outstanding (actual),434205752.0,434175752.0,432518471.0,398059266.0,396262742.0,395797733.0
Book Value per Share,10.39,10.63,9.97,9.62,9.82,9.73
Tangible Book Value,4482034.0,4581698.0,4277266.0,3788725.0,3847538.0,3804304.0
Tangible Book Value per Share,10.32,10.55,9.89,9.52,9.71,9.61
Total Debt,1262190.0,1489335.0,801215.0,803550.0,792291.0,778381.0
Net Debt,1023499.0,1060139.0,-884771.0,-249285.0,51931.0,-40742.0
Debt Equiv. of Unfunded Proj. Benefit Obligation,,42647.0,34591.0,50814.0,51720.0,43007.0
Total Minority Interest,22.0,3.0,8.0,100.0,162.0,183.0
Equity Method Investments,2358816.0,2402781.0,155881.0,184308.0,172412.0,194814.0
Raw Materials Inventory,42176.0,54113.0,34507.0,36606.0,35620.0,39393.0
Finished Goods Inventory,519563.0,469749.0,456303.0,286692.0,495939.0,205718.0
Other Inventory Accounts,114080.0,113419.0,116989.0,75648.0,72582.0,68120.0
Land,,3947604.0,3840004.0,4071315.0,4100089.0,3893584.0
Machinery,,2262802.0,2140052.0,2225958.0,2180784.0,2127185.0
Construction in Progress,,179672.0,173331.0,132123.0,109128.0,102123.0
Natural Resources at Cost,,809040.0,804062.0,848082.0,883286.0,826377.0
Full Time Employees (actual),1885.0,,,,,
CIQ Restatement Type Code,,,,,,
CIQ Calculation Type Code,,,,,,
Loss Carry Forward Related Items ($000),,,,,,
NOL Carryforward Current Year + 2,,10658.0,,,,
NOL Carryforward Current Year + 3,,177.0,11317.0,,,
NOL Carryforward Current Year + 4,,46.0,187.0,10949.0,,
NOL Carryforward After Five Years,,195269.0,845033.0,888696.0,958067.0,1099099.0
NOL Carryforward No Expiration,,1098535.0,813188.0,837243.0,832904.0,792176.0
Total NOL Carryforward,,1304685.0,1669725.0,1736888.0,1790970.0,1891275.0
Fair Value Measurements ($000),,,,,,
Level 1 Assets - Quoted Prices34432,18818.0,,,,,
Level 2 Assets - Observable Prices,5374.0,21556.0,2074.0,25364.0,35791.0,8098.0
Fair Value of Assets,5374.0,21556.0,2074.0,25364.0,70223.0,26917.0
Level 2 Liabilities - Observable Prices,1168509.0,1382692.0,792328.0,876321.0,924512.0,866937.0
Fair Value of Liabilities,1168509.0,1382692.0,792328.0,876321.0,924512.0,866937.0
EBITDA,126292.0,372686.0,150932.0,76986.0,137488.0,393358.0
