Metric,2024 FQ1,2023 FY,2022 FY,2021 FY,2020 FY,2019 FY
 ,,,,,,
Period Ended,,,,,,
Financial Filing Date,,,,,,
Spot Exchange Rate,,1.105339,1.068719,1.137268,1.223242,1.122209
Average Exchange Rate,,1.081488,1.05351,1.182779,1.141808,1.119564
Reported Currency Code,,,,,,
Cash and Equivalents,,1412623.0,939404.0,1401115.0,1900917.0,1674335.0
Short Term Investments,,349287.0,329165.0,403730.0,768196.0,526316.0
Cash & Short Term Investments,,1761910.0,1268569.0,1804845.0,2669113.0,2200651.0
Accounts Receivable,,945065.0,841082.0,833618.0,960245.0,799012.0
Other Receivables,,568144.0,581383.0,652792.0,675229.0,594771.0
Total Receivables,,1513209.0,1422464.0,1486410.0,1635474.0,1393783.0
Inventory,,1748646.0,1542161.0,1624019.0,1697859.0,1695657.0
Other Current Assets,,58583.0,127178.0,120550.0,110092.0,118954.0
Total Current Assets,,5082348.0,4360372.0,5035824.0,6112538.0,5409045.0
"Gross Property, Plant & Equipment",,32108986.0,30358021.0,32619129.0,33652599.0,30709236.0
Accumulated Depreciation,,-22129988.0,-21157422.0,-22277948.0,-23204893.0,-21218718.0
"Net Property, Plant & Equipment",,9978999.0,9200598.0,10341180.0,10447706.0,9490517.0
Long-term Investments,,8843.0,16031.0,13647.0,7339.0,4489.0
Goodwill,,1430308.0,1416052.0,1442056.0,1436086.0,1399394.0
Other Intangibles,,521720.0,498023.0,510633.0,545566.0,516216.0
"Deferred Tax Assets, LT",,107218.0,123971.0,151257.0,112538.0,122321.0
"Deferred Charges, LT",,866586.0,854975.0,883657.0,891743.0,883178.0
Other Long-Term Assets,,9194208.0,8299669.0,9990902.0,9585321.0,8638761.0
Total Assets,,27190229.0,24769691.0,28369157.0,29138838.0,26463921.0
Accounts Payable,,1208135.0,1079406.0,967815.0,1118043.0,944900.0
Accrued Exp.,,795844.0,661537.0,719891.0,718043.0,787790.0
Short-term Borrowings,,254228.0,86566.0,139884.0,86850.0,80799.0
Curr. Port. of LT Debt,,924063.0,115422.0,458319.0,1118043.0,756369.0
Current Portion of Leases,,18791.0,17099.0,26157.0,33028.0,22444.0
Curr. Income Taxes Payable,,15475.0,22443.0,25020.0,31804.0,22444.0
"Unearned Revenue, Current",,8301094.0,7577215.0,8004094.0,7997554.0,7071036.0
Other Current Liabilities,,1004753.0,924442.0,918913.0,955352.0,816968.0
Total Current Liabilities,,12522383.0,10484130.0,11260093.0,12058716.0,10502749.0
Long-Term Debt,,2095722.0,2816074.0,3315137.0,3921713.0,3823364.0
Long-Term Leases,,71847.0,69467.0,78472.0,84404.0,69577.0
Pension & Other Post-Retire. Benefits,,568144.0,507641.0,598203.0,1278287.0,1246774.0
"Def. Tax Liability, Non-Curr.",,3316.0,2137.0,2275.0,,
Other Non-Current Liabilities,,9787775.0,9128994.0,11001933.0,10440367.0,9420940.0
Total Liabilities,,25049188.0,23008443.0,26256113.0,27783486.0,25063405.0
Common Stock,,145905.0,141071.0,150119.0,161468.0,148132.0
Additional Paid In Capital,,1633691.0,1709950.0,2263164.0,1614679.0,1537426.0
Comprehensive Inc. and Other,,-66320.0,-150689.0,-279768.0,-329052.0,-246886.0
Total Common Equity,,1713275.0,1700331.0,2133515.0,1447095.0,1438671.0
Total Minority Interest,,427766.0,60917.0,-20471.0,-91743.0,-38155.0
Total Equity,,2141041.0,1761248.0,2113044.0,1355352.0,1400516.0
Total Liabilities And Equity,,27190229.0,24769691.0,28369157.0,29138838.0,26463921.0
ECS Total Shares Outstanding on Filing Date (actual),,264152778.0,264152778.0,264152778.0,264152778.0,264152778.0
ECS Total Common Shares Outstanding (actual),,264152778.0,264152778.0,264152778.0,264152778.0,264152778.0
Book Value per Share,,6.49,6.44,8.08,5.48,5.45
Tangible Book Value,,-238753.0,-213744.0,180826.0,-534557.0,-476939.0
Tangible Book Value per Share,,-0.9,-0.81,0.68,-2.02,-1.81
Total Debt,,3364651.0,3104628.0,4017969.0,5244037.0,4752553.0
Net Debt,,1602741.0,1836059.0,2213124.0,2574924.0,2551902.0
Debt Equiv. of Unfunded Proj. Benefit Obligation,,565933.0,504435.0,593654.0,1274618.0,1132308.0
Total Minority Interest,,427766.0,60917.0,-20471.0,-91743.0,-38155.0
Equity Method Investments,,8843.0,16031.0,13647.0,7339.0,4489.0
Raw Materials Inventory,,422239.0,620926.0,512908.0,554128.0,498261.0
Work in Progress Inventory,,980436.0,894517.0,918913.0,901529.0,913478.0
Finished Goods Inventory,,516193.0,195576.0,353690.0,392661.0,461228.0
Land,,174644.0,168858.0,178551.0,183486.0,173942.0
Buildings,,2514646.0,2298814.0,2331400.0,2397554.0,2254517.0
Machinery,,23776943.0,22406754.0,23862163.0,25339450.0,22996297.0
Construction in Progress,,2752294.0,2740195.0,2567952.0,2346177.0,2192795.0
Full Time Employees (actual),,19847.0,19297.0,19176.0,18691.0,18604.0
Accumulated Allowance for Doubtful Accounts,,8843.0,7481.0,11373.0,12232.0,6733.0
Order Backlog,,33270911.0,27495545.0,30484955.0,30821957.0,33524221.0
CIQ Restatement Type Code,,,,,,
CIQ Calculation Type Code,,,,,,
Level 1 Assets - Quoted Prices,,8601746.0,7033237.0,9040146.0,9571865.0,8061946.0
Level 2 Assets - Observable Prices,,1590583.0,1367960.0,1361310.0,1286850.0,1154753.0
Level 3 Assets - Unobservable Prices,,16580.0,14962.0,15922.0,7339.0,7855.0
Fair Value of Assets,,10210014.0,8417228.0,10417377.0,10867278.0,9223432.0
Level 2 Liabilities - Observable Prices,,127114.0,205194.0,108040.0,94190.0,123443.0
Fair Value of Liabilities,,127114.0,205194.0,108040.0,94190.0,123443.0
EBITDA,,1014436.0,998727.0,-104085.0,814109.0,1073662.0
