Metric,2024 FQ1,2023 FY,2022 FY,2021 FY,2020 FY,2019 FY
 ,,,,,,
Period Ended,,,,,,
Financial Filing Date,,,,,,
Spot Exchange Rate,1.0,1.0,1.0,1.0,1.0,1.0
Average Exchange Rate,1.0,1.0,1.0,1.0,1.0,1.0
Reported Currency Code,,,,,,
Cash and Equivalents,50240.0,45614.0,32536.0,44313.0,5148.0,6058.0
Short Term Investments,,,,,,11832.0
Cash & Short Term Investments,50240.0,45614.0,32536.0,44313.0,5148.0,17890.0
Accounts Receivable,542.0,,,,,
Total Receivables,542.0,,,,,
Inventory,42939.0,6207.0,66570.0,29172.0,212.0,212.0
Prepaid Exp.,10449.0,2682.0,2871.0,1434.0,1111.0,1343.0
Other Current Assets,,702.0,214.0,126.0,119.0,265.0
Total Current Assets,104170.0,55205.0,102191.0,75045.0,6590.0,19710.0
"Gross Property, Plant & Equipment",590273.0,592300.0,208283.0,83567.0,82612.0,82959.0
Accumulated Depreciation,-13788.0,-7012.0,-6101.0,-11839.0,-11937.0,-12380.0
"Net Property, Plant & Equipment",576485.0,585288.0,202182.0,71728.0,70675.0,70579.0
Long-term Investments,106711.0,86766.0,39011.0,20730.0,11515.0,8680.0
Other Long-Term Assets,10763.0,10330.0,10863.0,2038.0,2609.0,2071.0
Total Assets,798129.0,737589.0,354247.0,169541.0,91390.0,101040.0
Accounts Payable,17581.0,5576.0,2019.0,2764.0,1858.0,3003.0
Accrued Exp.,,4245.0,5443.0,,31.0,69.0
Curr. Port. of LT Debt,,,,10075.0,,
Current Portion of Leases,292.0,154.0,,,,
Other Current Liabilities,12729.0,2219.0,1036.0,430.0,148.0,
Total Current Liabilities,30602.0,12194.0,8498.0,13269.0,2037.0,3071.0
Long-Term Debt,,,,,20177.0,19600.0
Long-Term Leases,1509.0,1020.0,,,,
"Def. Tax Liability, Non-Curr.",66419.0,71080.0,536.0,541.0,545.0,551.0
Other Non-Current Liabilities,17394.0,21468.0,18304.0,4276.0,4214.0,3591.0
Total Liabilities,115924.0,105762.0,27338.0,18086.0,26973.0,26813.0
Common Stock,390.0,378.0,289.0,237.0,185.0,181.0
Additional Paid In Capital,982831.0,924737.0,613179.0,441990.0,341060.0,336048.0
Retained Earnings,-286359.0,-289680.0,-286373.0,-291625.0,-276811.0,-262201.0
Comprehensive Inc. and Other,-14657.0,-3608.0,-186.0,853.0,-17.0,200.0
Total Common Equity,682205.0,631827.0,326909.0,151455.0,64417.0,74227.0
Total Equity,682205.0,631827.0,326909.0,151455.0,64417.0,74227.0
Total Liabilities And Equity,798129.0,737589.0,354247.0,169541.0,91390.0,101040.0
ECS Total Shares Outstanding on Filing Date (actual),392979724.0,385848443.0,345766062.0,258986829.0,197376792.0,181331779.0
ECS Total Common Shares Outstanding (actual),389668725.0,378452864.0,289638307.0,236796866.0,184635870.0,180896431.0
Book Value per Share,1.75,1.67,1.13,0.64,0.35,0.41
Tangible Book Value,682205.0,631827.0,326909.0,151455.0,64417.0,74227.0
Tangible Book Value per Share,1.75,1.67,1.13,0.64,0.35,0.41
Total Debt,1801.0,1174.0,0.0,10075.0,20177.0,19600.0
Net Debt,-48439.0,-44440.0,-32536.0,-34238.0,15029.0,1710.0
Debt Equivalent Oper. Leases,,,,,5400.0,
Equity Method Investments,53364.0,48110.0,24177.0,20730.0,11515.0,8680.0
Raw Materials Inventory,212.0,228.0,232.0,33.0,,
Finished Goods Inventory,42727.0,5979.0,66338.0,29139.0,178.0,
Other Inventory Accounts,,,,,34.0,
Land,1080.0,1080.0,1080.0,1080.0,592.0,890.0
Buildings,297.0,297.0,298.0,298.0,298.0,
Machinery,25972.0,25363.0,24957.0,4790.0,5039.0,5161.0
"Natural Resources, at Cost",562924.0,565560.0,181948.0,70170.0,70040.0,70266.0
Full Time Employees (actual),,83.0,63.0,47.0,45.0,48.0
CIQ Restatement Type Code,,,,,,
CIQ Calculation Type Code,,,,,,
Loss Carry Forward Related Items ($000),,,,,,
"NOL Carryforward, Current Year",,2519.0,1887.0,,,
"NOL Carryforward, Current Year + 1",,4831.0,2035.0,181.0,,
"NOL Carryforward, Current Year + 2",,8461.0,2398.0,229.0,181.0,
"NOL Carryforward, Current Year + 3",,7046.0,8461.0,508.0,229.0,181.0
"NOL Carryforward, Current Year + 4",,13365.0,6807.0,5895.0,508.0,229.0
"NOL Carryforward, After Five Years",,198868.0,180978.0,170057.0,170154.0,170187.0
"NOL Carryforward, No Expiration",,90364.0,,,,
Total NOL Carryforward,,325455.0,202566.0,176870.0,171071.0,170597.0
Max. Year for NOL Carry Forward,,,,,,2039.0
Level 2 Liabilities - Observable Prices,11214.0,,,,,
Fair Value of Liabilities,11214.0,,,,,
Fair Value Change Included in Earnings,10412.0,,,,,
EBITDA,-10639.0,10986.0,-17887.0,-17119.0,-14024.0,-14630.0
