Metric,2024 FQ1,2023 FY,2022 FY,2021 FY,2020 FY,2019 FY
 ,,,,,,
Period Ended,,,,,,
Financial Filing Date,,,,,,
Spot Exchange Rate,1.0,1.0,1.0,1.0,1.0,1.0
Average Exchange Rate,1.0,1.0,1.0,1.0,1.0,1.0
Revenue,108.0,164389.0,23161.0,,,
Total Revenue,108.0,164389.0,23161.0,,,
Cost Of Goods Sold,5776.0,133339.0,26022.0,4479.0,4582.0,4488.0
Gross Profit,-5668.0,31050.0,-2861.0,-4479.0,-4582.0,-4488.0
Selling General & Admin Exp.,5200.0,20064.0,15026.0,12640.0,9442.0,10142.0
Depreciation & Amort.,517.0,2007.0,1379.0,393.0,310.0,347.0
"Impair. of Oil, Gas & Mineral Prop.",,112.0,,,,
Other Operating Expense,-229.0,,,,,
" Other Operating Exp., Total",5488.0,22183.0,16405.0,13033.0,9752.0,10489.0
Operating Income,-11156.0,8867.0,-19266.0,-17512.0,-14334.0,-14977.0
Interest Expense,-201.0,,-934.0,-2631.0,-3297.0,-3087.0
Interest and Invest. Income,,,,,,433.0
Net Interest Exp.,-201.0,,-934.0,-2631.0,-3297.0,-2654.0
Income from Affiliates,1459.0,-994.0,4126.0,5205.0,2968.0,-1103.0
Other Non-Operating Inc.,-6901.0,2325.0,19689.0,-163.0,45.0,-28.0
EBT Excl Unusual Items,-16799.0,10198.0,3615.0,-15101.0,-14618.0,-18763.0
Merger & Related Restruct. Charges,,,-3444.0,,,
Gain (Loss) On Sale Of Invest.,17313.0,-13083.0,-1351.0,,,
Gain (Loss) On Sale Of Assets,1.0,20.0,6427.0,-2.0,2.0,1596.0
Other Unusual Items,,428.0,,286.0,,
EBT Incl. Unusual Items,515.0,-2437.0,5247.0,-14817.0,-14616.0,-17167.0
Income Tax Expense,-2806.0,870.0,-5.0,-4.0,-6.0,-14.0
Earnings from Cont. Ops.,3321.0,-3307.0,5252.0,-14813.0,-14610.0,-17153.0
Net Income to Company,3321.0,-3307.0,5252.0,-14813.0,-14610.0,-17153.0
Net Income,3321.0,-3307.0,5252.0,-14813.0,-14610.0,-17153.0
NI to Common Incl Extra Items,3321.0,-3307.0,5252.0,-14813.0,-14610.0,-17153.0
NI to Common Excl. Extra Items,3321.0,-3307.0,5252.0,-14813.0,-14610.0,-17153.0
Basic EPS,0.01,-0.01,0.02,-0.07,-0.08,-0.1
Basic EPS Excl. Extra Items,0.01,-0.01,0.02,-0.07,-0.08,-0.1
Weighted Avg. Basic Shares Out. (actual),382380679.0,364789621.0,271019472.0,210295992.0,183041766.0,175844624.0
Diluted EPS Incl. Extra Items,0.01,-0.01,0.02,-0.07,-0.08,-0.1
Diluted EPS Excl. Extra Items,0.01,-0.01,0.02,-0.07,-0.08,-0.1
Weighted Avg. Diluted Shares Out. (actual),391423178.0,364789621.0,280102073.0,210295992.0,183041766.0,175844624.0
Normalized Basic EPS,-0.03,0.02,0.01,-0.05,-0.05,-0.07
Normalized Diluted EPS,-0.03,0.02,0.01,-0.05,-0.05,-0.07
EBITDA,-10639.0,10986.0,-17887.0,-17119.0,-14024.0,-14630.0
EBITA,-10914.0,9816.0,-18636.0,-17512.0,-14334.0,-14977.0
EBIT,-11156.0,8867.0,-19266.0,-17512.0,-14334.0,-14977.0
EBITDAR,,,,,-13349.0,
Effective Tax Rate (%),,,,0.03,0.04,0.08
Total Deferred Taxes,-2806.0,870.0,-5.0,-4.0,-6.0,-14.0
Normalized Net Income,-10499.0,6374.0,2259.0,-9438.0,-9136.0,-11727.0
Interest on Long-Term Debt,,,934.0,2631.0,3297.0,3250.0
Supplemental Operating Expense Items ($000),,,,,,
General and Administrative Expense,5200.0,20064.0,15026.0,12640.0,8767.0,10142.0
"Net Rental Expense, Total",,,,,675.0,
Imputed Oper. Lease Interest Exp.,,,,,895.0,
Imputed Oper. Lease Depreciation,,,,,-220.0,
"Stock-Based Comp., G&A Exp.",1572.0,5415.0,4540.0,5411.0,3493.0,2948.0
"Stock-Based Comp., Unallocated",,108.0,141.0,60.0,,
"Stock-Based Comp., Total",1572.0,5523.0,4681.0,5471.0,3493.0,2948.0
CIQ Restatement Type Code,,,,,,
CIQ Calculation Type Code,,,,,,
"Options Out. at the Begin of Period, Common Stock",8326983.0,8880527.0,10404333.0,15514750.0,15738350.0,14911625.0
"Options Granted During the Period, Common Stock",17500.0,3507004.0,1279692.0,959588.0,6163900.0,2006350.0
"Options Exercised During the Period, Common Stock",608182.0,3995897.0,2728498.0,4705005.0,,259625.0
"Options Cancelled During the Period, Common Stock",218259.0,64651.0,75000.0,1365000.0,6387500.0,920000.0
"Options Out. at the End of Period, Common Stock",7518042.0,8326983.0,8880527.0,10404333.0,15514750.0,15738350.0
"Options Wtd Avg Strike Price of Outstd, Comm Stock ($)",1.94,1.92,1.58,1.21,1.13,1.3
"Wtd Avg Strike Price of Granted, Comm Stock ($)",5.04,2.46,3.8,2.21,0.95,0.97
"Options Out. at the Beginning of the Period, Total",8326983.0,8880527.0,10404333.0,15514750.0,15738350.0,14911625.0
"Options Granted During the Period, Total",17500.0,3507004.0,1279692.0,959588.0,6163900.0,2006350.0
"Options Exercised During the Period, Total",608182.0,3995897.0,2728498.0,4705005.0,,259625.0
"Options Cancelled During the Period, Total",218259.0,64651.0,75000.0,1365000.0,6387500.0,920000.0
"Options Out. at the End of the Period, Total",7518042.0,8326983.0,8880527.0,10404333.0,15514750.0,15738350.0
Warrants Out. at the Beginning of the Period,3857030.0,3615454.0,5387323.0,7721981.0,19443910.0,30923489.0
Warrants Issued During the Period,,4660580.0,,7015151.0,300000.0,7063253.0
Warrants Exercised During the Period,,4359086.0,1771869.0,8240505.0,,3999881.0
Warrants Cancelled During the Period,,59918.0,,1109304.0,12021929.0,14542951.0
Warrants Out. at the End of the Period,3857030.0,3857030.0,3615454.0,5387323.0,7721981.0,19443910.0
Warrants W/Average Strike Price of Issued ($),,2.95,,1.86,1.38,2.05
"Warrants Wtd Avg Strike Price of Outstd, Comm Stck ($)",3.31,3.31,1.92,1.9,2.03,1.94
"Warrants Out. at the Begin of the Period, Total",3857030.0,3615454.0,5387323.0,7721981.0,19443910.0,30923489.0
"Warrants Issued During the Period, Total",,4660580.0,,7015151.0,300000.0,7063253.0
"Warrants Exercised During the Period, Total",,4359086.0,1771869.0,8240505.0,,3999881.0
"Warrants Cancelled During the Period, Total",,59918.0,,1109304.0,12021929.0,14542951.0
"Warrants Out. at the End of the Period, Total",3857030.0,3857030.0,3615454.0,5387323.0,7721981.0,19443910.0
"Restr. Stock Comp. Exp., Before Tax",611.0,1502.0,1073.0,1215.0,583.0,
"Stock Options Comp. Exp., Before Tax",961.0,2688.0,1651.0,2044.0,1525.0,1360.0
"Stock Based Comp. Exp., Before Tax",1572.0,5523.0,4681.0,5471.0,3493.0,2948.0
